   7.2668900e+01   7.5543800e+01   7.5165100e+01
   7.2087500e+01   7.5165100e+01   7.2087500e+01
   7.0527200e+01   7.4739500e+01   7.5797500e+01
   7.4739500e+01   7.5797500e+01   7.6360600e+01
   7.5543800e+01   7.6360600e+01   7.6086000e+01
   7.5165100e+01   7.6086000e+01   7.5165100e+01
   7.2087500e+01   7.5165100e+01   7.3230700e+01
   7.4739500e+01   7.5165100e+01   7.6360600e+01
   7.5797500e+01   7.6360600e+01   7.6624400e+01
   7.6360600e+01   7.6624400e+01   7.6516400e+01
   7.6086000e+01   7.6516400e+01   7.5871600e+01
   7.5165100e+01   7.5871600e+01   7.4271800e+01
   7.3230700e+01   7.4271800e+01   0.0000000e+00
   7.2668900e+01   7.1493000e+01   7.5165100e+01
   7.5165100e+01   7.5165100e+01   7.6193100e+01
   7.6360600e+01   7.6193100e+01   7.6516400e+01
   7.6624400e+01   7.6516400e+01   7.6376900e+01
   7.6516400e+01   7.6376900e+01   7.5543800e+01
   7.5871600e+01   7.5543800e+01   7.3767000e+01
   7.4271800e+01   7.3767000e+01   0.0000000e+00
   7.1493000e+01   0.0000000e+00   7.3230700e+01
   7.5165100e+01   7.3230700e+01   7.5165100e+01
   7.6193100e+01   7.5165100e+01   7.5871600e+01
   7.6516400e+01   7.5871600e+01   7.5543800e+01
   7.6376900e+01   7.5543800e+01   8.6520100e+01
   7.5543800e+01   8.6520100e+01   0.0000000e+00
   7.3767000e+01   0.0000000e+00   0.0000000e+00
   7.3230700e+01   0.0000000e+00   7.2668900e+01
   7.5165100e+01   7.2668900e+01   7.3767000e+01
   7.5871600e+01   7.3767000e+01   7.3767000e+01
   7.5543800e+01   7.3767000e+01   0.0000000e+00
   8.6520100e+01   0.0000000e+00   0.0000000e+00
   7.2668900e+01   0.0000000e+00   0.0000000e+00
   7.3767000e+01   0.0000000e+00   0.0000000e+00
   7.3767000e+01   0.0000000e+00   0.0000000e+00
